prod;author;date;review_format;stars;comments
Sapiens: A Brief History of Humankind;MGSeattle;August 27, 2018;Verified Purchase;1;"









  
  
    
  I don't know what Bill Gates and Barack Obama saw in this book, but what I encountered is neither history, nor evolutionary psychology, nor really anything worthwhile. What I encountered was  a very long progressive political screed.The Kindle sample is misleading, and makes it appear as if the book might be interesting. It's not.I really should have known better when Harari asserted that humans were probably happier as hunter-gatherers. I thought, ""would I want to be a hunter-gatherer?"" Uh, no, not so much.Harari then goes on to attempt to tear down just about every human institution of the last few thousand years as being fictional or ""imaginary"". Well, sure, they were all invented by humans. But that doesn't make them prima facie ""bad"" ideas. In Harari's world, though, they're all suspect.If you're unlucky enough to have already bought this book, call Amazon for a refund. I did.

  
"
Sapiens: A Brief History of Humankind;Amazon Customer;August 25, 2018;Verified Purchase;1;"









  
  
    
  Very biased. I was naive to think this book was going to contain actual scientific facts and not just liberal propaganda.

  
"
Sapiens: A Brief History of Humankind;Stanley;March 12, 2017;Verified Purchase;4;"









  
  
    
  Never before have I reviewed a book after 2300 others have done the same.  Who's going to read 2300 reviews and who will read this?  Surely a waste of time for a lot of people including me.  Now that I am past that let me state that Harari gives a heckeva good read.  This is not the usual rise and fall of empires and kingdoms but a broad ranging overview of how we got here.  Parts of it were downright fascinating such as ""imagination"" being a keystone to human activity, e.g. corporations, money, and religion.Something I found really different and pleasing was his discussion of things where he had no real answer.  In the case of all cultures being patriarchal he gives three or four possible reasons.  That's good enough for me as there is still no real answer.  I find that fair and enlightening.  He also does something different as he uses the pronoun ""she"" throughout the book instead of the previously required male pronoun.  Finally he keeps touching on the fact that animals have paid a terrible price for the rise of sapiens.  From hunter-gatherer days to the factory farms of today they have suffered.  He's right.  Incidentally our family has a farm background and I eat no chicken, turkey, pork, or beef.  Ever been in a confinement barn?Now I didn't give the book five stars because he makes positive references to the misguided but widely read Jared Diamond.  He borrows a fair amount from Diamond, for example, in that hunter-gatherers were happier than folks today.  Let me emphasize that on this snowy March day the cat and I are both glad we don't need to go out and scavenge something off the frozen earth.Finally, beware of the paper back edition.  It has incredibly cheap paper and tiny print.  If you purchase the book look for a hard cover.  I now consign this review to oblivion. . .still I liked the book.

  
"
Sapiens: A Brief History of Humankind;Abeer Y. Hoque;September 11, 2017;Verified Purchase;5;"









  
  
    
  “Tolerance is not a Sapiens trademark.”Sapiens: A Brief History of Humankind, by Yuval Noah Harari is one of the most entertaining and informative books I’ve read in a long time. It usually takes me longer to get through nonfiction than fiction, but I blew through this book despite it being a bit of a tome. In fact I didn’t even notice how long it was until I saw the paper version later. It’s that accessible and so much fun to read.I learned so much about history, social culture, and the human race from Sapiens. For instance, this following idea blew me away: gossip, not physical strength or military cunning, is what makes leaders and binds communities and nations. It seems we developed language just to talk about each other, not for trade or power or more.I loved how Mr. Harari the word “fiction” (aka common myths) to describe the concepts that let large numbers of strangers cooperate across space and time: “There are no gods in the universe, no nations, no money, no human rights, no laws, and no justice outside the common imagination of human beings.” This is kind of terrifying, but also quite true if you stop to think about it.I also found it darkly amusing and irreverent how he talks about philosophies and hate groups and religions and economic models, all in the same breath: “Some religions, such as Christianity and Nazism, have killed millions out of burning hatred… Capitalism has killed millions out of cold indifference coupled with greed.”I got a crash course in mega fauna, those giant animals that existed on earth for thousands of years until humans killed them off in a matter of decades: the giant diprotodon, a 2.5 ton wombat, dragon-like lizards, snakes seven feet long, a 450 pound six foot kangaroo, a marsupial lion as massive as the modern tiger, a flightless elephant bird, ten feet tall and half a ton (the largest bird in the world), and the giant lemur (earth’s largest primate).“Don’t believe our ancestors lived in harmony with nature. Homo sapiens hold the record among all organisms for driving the most plant and animal species to their extinctions. We have dubious distinction of being the deadliest species in the annals of biology.”Mr. Harari trashes the Agricultural Revolution: “This is the essence of the Agricultural Revolution: the ability to keep more people alive under worse conditions.” Nor does he spare the Scientific Revolution: “The Scientific Revolution and modern imperialism were inseparable.” Naturally, religion doesn’t stand a chance, especially the monotheist ones of today which are described as far more fanatical and missionary than the more tolerant open-minded polytheist religions of old. Only Buddhism seems to get a bit of a pass.Each concept and chapter of human history is explained with compelling examples, from economics to history to biology to psychology and so on. In some ways, it seems we’re heading forward, with less violence than ever before, new forms of consciousness, life continuing as we could not imagine it, but continuing all the same. For e.g., Mr. Harari explains that ecological degradation is not the same as resource scarcity, and that in fact, our resources (solar and wind power, man made materials, etc) are constantly increasing, and are likely to continue to do so. The environment on the other hand…But in more ways, Sapiens is an indictment. It is undeniable that “a significant proportion of humanity’s cultural achievements owe their existence to the exploitation of conquered populations,” that “there is no justice in history” and that perhaps happiness is the act of “synchronizing one’s personal delusions of meaning with the prevailing collective delusions.”The parts about animal husbandry are incendiary. From age old practices to modern slaughterhouses, “tens of billions of animals have been subjected to a regime of industrial exploitation whose cruelty has no precedent in the annals of planet Earth. If we accept a mere tenth of what animal rights activists are claiming, then modern industrial agriculture might well be the greatest crime in history.” The descriptions of some of these practices are chilling, perhaps enough to persuade you towards vegetarianism.I found it strangely comforting, in these bad sad days of war and terrorism and misogyny and hatred, to be reminded that this phase we’re in where we work as urban labourers and office workers has only lasted a couple hundred years. The 10,000 years before that, we were farmers and herders, and even that is a vanishing second compared to the tens of thousands of years of human hunters and gatherers. We have a long way to go and much more to learn. And anyway, the nihilists have always known that “from a purely scientific viewpoint, human life has absolutely no meaning.”If you’re tender about things like religion, capitalism, or even human rights, Sapiens won’t give you a break. But it is one rollicking relevant read.

  
"
Sapiens: A Brief History of Humankind;P. McCollum;May 8, 2017;Verified Purchase;5;"









  
  
    
  I was impressed by Sapiens.  I have read some books that cover some of the same material.  For example, books by Jared Diamond, Nicholas Wade, and Jacob Bronowski.  Of those three authors it is the closest in ambition to Bronowski's Ascent of Man back from the 1970's, except it is significantly better.  I thought the book almost merged into moral and political philosophy because it was subtly giving you analytical tools to judge culture.  For example the book states all large societies use great myths (religion, countries, moral codes, money, financial institutions, family institutions) to generate the social cohesion to make large societies function.  But can we judge one more or less moral than another?  I think the answer implies the answer is yes and implies some criteria.It not only merges into moral philosophy but it also merges into the realms of religion replacing religion with science.  That is not uncommon, but when you get a sharp thinker and writer like Harari it is much more convincing.Maybe my biggest fault with the book is that it reaffirmed by own biases too much so it is hard for me to tell if the reasoning is as good as I think it is or whether the reasoning only seems really good because its reaffirming my own biases.  For example I became a vegetarian in my early 20's for moral reasons (I didn't like the way animals were treated).  I felt like the author agreed with me.  In the end I felt like the author just a slightly smarter version of myself who gave me better arguments to substantiate the beliefs I already have so I have a natural bias for this book.Also how did this book get over 3000 reviews?  Seriously!  It is well argued and interesting, but its not a polemic designed to enflame one side and laud another side so I have no idea how 3000 people were motivated enough to write a review.

  
"
Sapiens: A Brief History of Humankind;Keith M.;August 23, 2018;Verified Purchase;1;"









  
  
    
  I gave it a real try but this book is one of the most pretentious and pompous books I've ever read.  Anyone who is in any way religious...regardless of the religion...is sure to find this book to be offensive and downright sacreligious. The author explains in his heavy-handed and authoratative way how man is the only species who has the intelligence to create ""myths"".  The myths he refers to are the religions of the world.  Don't buy this book.  I want my money back!

  
"
Sapiens: A Brief History of Humankind;jubilee logic;May 21, 2018;Verified Purchase;3;"









  
  
    
  I was verrrrrrrry disappointed in parts of this book.  It starts out well-- the overview of human-prehistory is quite decent, and I learned some new things, esp. about human impacts on biodiversity.  (full disclosure: I'm a scholar in an overlapping field, with an MA in History of Science in an Israeli university, with many colleagues who have also worked with this author).  As with many authors in the Richard Dawkins style of popular writing, he oversteps with determinism around evolution and how it works.  Unlike many authors, he does accurately recognize that the agricultural revolution was at least partly a disaster, and continues to be, ecologically... But where it really lost me was in his capsule history of economics.  He's clearly out of his expertise here, parroting uncritically the barter-as-founding-myth-of-economics, which has been conclusively debunked, there are zero anthropolgists on the planet who would agree that 'everyone was doing barter, it was a pain, so we created money'.  For that whole aspect of his narrative, one would be far better off reading David Graeber's 'Debt: the First 5000 Years'.  This book is very ambitious, and I admire his chutzpah in attempting so all-encompassing.  If you're interested in world history and humanity's future, it's worth a read, but with a big grain of salt.

  
"
Sapiens: A Brief History of Humankind;CompLit;January 10, 2019;Verified Purchase;1;"









  
  
    
  I thought this book would be about anthropology and evolution; I would learn how homo sapiens went from the tools and ability to survive 100,000 years ago to where we are now. The emphasis in this book, though, is generally on the capacity of homo sapiens (humans) for exploitation and destruction. This capacity appears to be endless. If that topic is one you want to read about, this could be a good book. If instead you want to learn about anthropology and evolution, this would not be the best choice.

  
"
Sapiens: A Brief History of Humankind;B. Gross;January 13, 2019;Verified Purchase;1;"









  
  
    
  To paraphrase the author, this book was built in the imagination and is myth. Nothing the author proposes should be taken as anything more than myth, and useless unless we all choose to believe it. And we should not. Not the all encompassing history I had hoped. Waste of money.

  
"
Sapiens: A Brief History of Humankind;Carleton Wu;August 18, 2018;Verified Purchase;2;"









  
  
    
  Rather than being the interesting syhthesis Id hoped for, this turned out to be a series of disjointed bits touching on nearly every aspect of society. Eight paragraphs about political philosophy followed by a dozen about animal husbandry, and so on. Quit halfway through without encountering a single new and interesting theory or fact.

  
"
Sapiens: A Brief History of Humankind;James H. Meyer;July 21, 2019;Verified Purchase;1;"









  
  
    
  Page 3:”The Scientific Revolution, which got underway only 500 years ago, may well end history and start something completely different.” Presumably, he is referring to Copernicus, Kepler, and Galileo (each in the 16th century CE—Newton lived in the 17th century CE), ignoring that heliocentricity was first proposed Aristarchus (3rd century BCE), as quoted by Archimedes in the 2nd century BCE (mathematician, physicist, engineer, famous for calculating pi, law of floating bodies, exponentiation,  early calculus, and a variety rigorous mathematical proofs). Nor is he aware that in the 2nd century BCE Erathostanes determined, within 10%, the circumference of the earth, using the geometry of similar, right triangles deriving from the work of Pathagorus (5th century BCE). From Kepler’s calculations of planetary orbits and with Galeleo’s invention of the telescope, Roemer (17th century CE) determined the speed of light using Io’s emergence from an eclipse by Jupiter.  From Newton’s mechanics of inertia, Einstein (20th century CE) deduced that mass was equivalent to energy (E=MC2). The points are (a) that human, motivation, imagination and ingenuity to understand the universe in these “mind problems” are far more magnificent than stick figure paintings in caves; (b) that modern science arises from the unique ability of sapiens to transmit information across millennia [Isaac Newton: “If I have seen further than others, it is by standing upon the shoulders of giants.”]. Harari does not seem to appreciate these remarkable phenomena unique to sapiens, one involving language, another other endless curiosity—the two integrated by logical reasoning, well beyond the simple need for survival of the hunter-gatherer. Only at the end of this interminable book do we get explanation of the vacuous, “may well end history and start something completely different”; i.e. brain inplants, cyborgs, genetic modifications, and some other ethically dubious things. In concert with today’s, American, political left, Harari cites the Declaration of independence disdainfully: [“We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.”] First, he argues that we have not achieved the ideal of [economic] equality. But no society, whether capitalist or communist (for example, today’s China) has ever achieved economic equality The Declaration of Independence was a political, not philosophical or economic, document, written by colonists, some of whom were not English and by others who were English but anti-establishment (viz., the Puritans), all disaffected under the rule of a remote, English monarch. As a political document, this was an extension of the English Magna Carta (13 century CE) which held that even the king had some limits under the rule of law; but the Declaration went beyond this to say that all men, even the king, were equal under the law. It is self evident, throughout the history of mankind, that individuals are not created equal in ability, and, as a result, there never can be equal achievement/outcome. The Hebrew scriptures (starting at 1200 BC) depict unusually gifted heroes chosen by God, often miraculously (thus symbolically chosen) born from barren women or under other difficulties—i.e. Isaac, Joseph, Moses, Samuel, Sampson); or chosen by God when already in the womb (Isaiah, Jeremiah, Paul of Tarsus). The Christians similarly adopted the doctrine of God’s elect, because life’s experiences clearly define a gradation of gifts/talents among individuals that are independent of affluence, privilege or heritage (for example, the Hebrew King, David—farmer, mercenary soldier, adulterer, murderer, psalmist, military and political genius, God’s chosen one). In this same section, the author does a riff on “happiness”, inappropriately defining it as pleasure (i.e., a temporary hedonic response to a defined stimulus); but 300 pages later, he, more appropriately, defines happiness as [long term] contentment with life, then argues that such a sentiment is a [religious] delusion. Yet we all know people from various backgrounds (whether they are religious, agnostic, or atheistic) who are happy and not evidently deluded. So herewith we see the author’s pervasive inconsistency, cynicism, and bias. He disdains the Agricultural Revolution (because of the “enslaving” toils of plowing, planting, and harvesting, and the anxieties of crop failures) and the Industrial Revolution (thinking of the poor coal miners in the dank, dark coal mines). But the agricultural revolution ensured a more predictable food supply, thus assuring a stable growth of population (and with it, more geniuses); while the Industrial Revolution, aside from improving standards of living, begat the growth of the English middle class and, with it, a more democratic polity. His pessimism persists for the present day, claiming that we are enslaved by our affluence (longer life span, better health, better nutrition, more leisure because of serial inventions, more time and money for R&D). This attitude is a repetition of the early 18th century reaction to rapid progress during the Enlightenment, expressed as an admiration of, or pining for, the “noble savage” (aka the hunter-gatherer). It was nonsensical then and is nonsensical now. He makes the dubious claim that the world of sapiens has become more peaceful than ever for fear of nuclear Armageddon [“Robert Oppenheimer should have been given the Nobel Peace Prize (for his management of the Manhattan Project)”]. Yet, since it’s founding in 1949, his Israel (a covert nuclear power) has fought three wars and still is under frequent missile bombardment from the Palestinians. The Unites States (a pre-eminent, overt nuclear power) has been almost continuously at [undeclared] war since 1950 [Korea, Viet Nam, Lebanon, Somalia, Granada, Iraq (twice), Kosovo, Libya , Afghanistan (and covertly Yemen)]. Since their separation in 1946, India and Pakistan (now both overt nuclear powers) have fought each other three times and continue to threaten war with each other. In the last section of the book, he correctly recounts the progress made with artificial limbs, some controllable by brain impulses. He also refers to the recent use in China of CRISPER technology to edit a gene in a human embryo, suggesting that we are already on the road to creating super-humans. Yet this rogue experiment has been internationally condemned because no one knows how such a manipulation may affect future generations of humans. As a race, we are not ready to go down this road. So what’s to like in this book???

  
"
Sapiens: A Brief History of Humankind;Robert Kutz;August 16, 2018;Verified Purchase;2;"









  
  
    
  A reader unfamiliar with the author's specialty will find little disagreeable about this book at first blush, other than its suspicious aversion to citation. Even where that is concerned, expert authors have done worse when writing for a general audience.But the sheer range of of the text, so glibly and didactically presented, gnaws at the reader before long. This is not a sum of knowledge that can be honestly presented by a single man without reference to experts in the many fields on which he touches, and indeed, it is not honestly presented -- at least, not by the standard of serious scholars. It's pop junk masquerading as something more authoritative, and its acclaim comes from reviewers too lazy or credulous to know the difference.

  
"
Sapiens: A Brief History of Humankind;Hadi;April 8, 2019;Verified Purchase;1;"









  
  
    
  I was referred to this book by a friend and therefore skipped my usual critical step of reading the negative reviews.What a mistake! I shouldn't have.I am unhappy with Amazon to cut the sample short of the first paragraph which really raised my suspicion: that I am reading a book which relays a bunch of opinions under the cover of science. There are many such repetitions through the book and I could not convince myself to waste more time beyond half way through the book.Don't take me wrong, I personally buy books to learn a different opinion or perspective. But this is not that. I am highly educated in my field and can tell when I am reading rubbish. Sorry writer, you are well within that circle.

  
"
Sapiens: A Brief History of Humankind;Kindle Customer;November 19, 2018;Verified Purchase;5;"









  
  
    
  I was Blown Away.  This book was packed full of history and stories and thoughts of how the world has been since the beginning of time.I'm not as smart as I'd like to be and I tried to keep  up with all the history and stories, but I really enjoyed how information was presented at such a high level; something I am really bad at doing.I would LOVE to have dinner with Dr. Harari because I have so many questions for him.  He is like a walking computer database but with feelings.Thank you sir, I really enjoyed this book.  It has caused me to start thinking in a different way or at least to back up and look at what I've been looking at from a higher level or with a broader lens.  I don't know.  I'm not good also with saying what I want to say.  Ugggh me!  But great book.

  
"
Sapiens: A Brief History of Humankind;Donald A. Loffredo;November 19, 2018;Verified Purchase;1;"









  
  
    
  This book is mainly author opinion filled with anecdotal (non-scientific) explanations. The author basically makes things up without any science-based proof or explanation.  Don't waste your money or time reading this book.

  
"
